building_id,meter_reading,square_feet,year_built,floor_count,air_temperature,cloud_coverage,dew_temperature,sea_level_pressure,wind_direction,wind_speed
46,3.9934131126433927,9045.0,2016.0,4.033060037027242,25.0,6.0,20.0,1019.7,0.0,0.0
74,3.784219178936348,387638.0,1997.0,4.033060037027242,25.0,6.0,20.0,1019.7,0.0,0.0
93,3.978196439367148,33370.0,1982.0,4.033060037027242,25.0,6.0,20.0,1019.7,0.0,0.0
105,3.1906244875217977,50623.0,1963.7010722128923,5.0,3.8,2.346009507130348,2.4,1020.9,240.0,3.1
106,0.31816277970536777,5374.0,1963.7010722128923,4.0,3.8,2.346009507130348,2.4,1020.9,240.0,3.1
107,5.17152890347659,97532.0,2005.0,10.0,3.8,2.346009507130348,2.4,1020.9,240.0,3.1
108,4.524668122826975,81580.0,1913.0,5.0,3.8,2.346009507130348,2.4,1020.9,240.0,3.1
109,4.4058652241537235,56995.0,1953.0,6.0,3.8,2.346009507130348,2.4,1020.9,240.0,3.1
110,4.468528819547206,27814.0,2006.0,8.0,3.8,2.346009507130348,2.4,1020.9,240.0,3.1
111,5.126294594741541,118338.0,1909.0,7.0,3.8,2.346009507130348,2.4,1020.9,240.0,3.1
112,2.422570146872214,32206.0,1963.7010722128923,6.0,3.8,2.346009507130348,2.4,1020.9,240.0,3.1
112,4.5847429636730475,32206.0,1963.7010722128923,6.0,3.8,2.346009507130348,2.4,1020.9,240.0,3.1
113,5.079184511627788,100481.0,1958.0,9.0,3.8,2.346009507130348,2.4,1020.9,240.0,3.1
113,3.0251454341223405,100481.0,1958.0,9.0,3.8,2.346009507130348,2.4,1020.9,240.0,3.1
114,5.786130216004954,139683.0,1958.0,13.0,3.8,2.346009507130348,2.4,1020.9,240.0,3.1
114,4.61512051684126,139683.0,1958.0,13.0,3.8,2.346009507130348,2.4,1020.9,240.0,3.1
115,5.310952209683453,129716.0,1968.0,6.0,3.8,2.346009507130348,2.4,1020.9,240.0,3.1
116,4.252771798816619,37265.0,1963.7010722128923,5.0,3.8,2.346009507130348,2.4,1020.9,240.0,3.1
117,2.851059040510624,15489.0,2004.0,4.0,3.8,2.346009507130348,2.4,1020.9,240.0,3.1
117,3.029210569002725,15489.0,2004.0,4.0,3.8,2.346009507130348,2.4,1020.9,240.0,3.1
118,4.772378104971998,138316.0,1960.0,8.0,3.8,2.346009507130348,2.4,1020.9,240.0,3.1
